"Name","serial_number","order","gene","median_FC","median_reads","organ","sample","mouse_index"
"Trp53-1","a",2,"Trp53",7.19220530294963,33771,"LN","A123-LN","A123"
"Cd19-1","a",3,"Cd19",1.04455900007062,36980,"LN","A123-LN","A123"
"Kpnb1-1","a",4,"Kpnb1",0.369581126505501,9932,"LN","A123-LN","A123"
"Polr2a-1","a",5,"Polr2a",0.403996935832733,5977,"LN","A123-LN","A123"
"Pten-1","a",6,"Pten",4.97275175013463,46172,"LN","A123-LN","A123"
"Cd45-1","a",7,"Cd45",1.58339253996448,11886,"LN","A123-LN","A123"
"Trp53-2","b",8,"Trp53",4.83100600351587,24275,"LN","A123-LN","A123"
"Cd19-2","b",9,"Cd19",1.19125,4765,"LN","A123-LN","A123"
"Kpnb1-2","b",10,"Kpnb1",0.385577896716332,1777,"LN","A123-LN","A123"
"Polr2a-2","b",11,"Polr2a",0.267598510276335,970,"LN","A123-LN","A123"
"Pten-2","b",12,"Pten",6.02768903088392,19810,"LN","A123-LN","A123"
"Cd45-2","b",13,"Cd45",2.16573159227447,7270,"LN","A123-LN","A123"
"Trp53-3","c",14,"Trp53",2.68822853390248,5458,"LN","A123-LN","A123"
"Cd19-3","c",15,"Cd19",1.02776113441182,2573,"LN","A123-LN","A123"
"Kpnb1-3","c",16,"Kpnb1",0.369581126505501,9932,"LN","A123-LN","A123"
"Polr2a-3","c",17,"Polr2a",0.442622950819672,1017,"LN","A123-LN","A123"
"Pten-3","c",18,"Pten",9.25381414701803,17792,"LN","A123-LN","A123"
"Cd45-3","c",19,"Cd45",2.16273206509283,4718,"LN","A123-LN","A123"
"Trp53-4","d",20,"Trp53",2.83269230769231,4910,"LN","A123-LN","A123"
"Cd19-4","d",21,"Cd19",0.937581841990397,1432,"LN","A123-LN","A123"
"Kpnb1-4","d",22,"Kpnb1",0.216503655873136,380,"LN","A123-LN","A123"
"Polr2a-4","d",23,"Polr2a",0.37300922045264,445,"LN","A123-LN","A123"
"Pten-4","d",24,"Pten",5.44380403458213,5667,"LN","A123-LN","A123"
"Cd45-4","d",25,"Cd45",2.52952755905512,2570,"LN","A123-LN","A123"
"Trp53-5","e",26,"Trp53",2.43528922180608,2926,"LN","A123-LN","A123"
"Cd19-5","e",27,"Cd19",1.32127096204766,1497,"LN","A123-LN","A123"
"Kpnb1-5","e",28,"Kpnb1",0.497825708818925,477,"LN","A123-LN","A123"
"Polr2a-5","e",29,"Polr2a",0.21505376344086,180,"LN","A123-LN","A123"
"Pten-5","e",30,"Pten",4.84936553417929,3949,"LN","A123-LN","A123"
"Cd45-5","e",31,"Cd45",2.81557646029315,2145,"LN","A123-LN","A123"
"Trp53-6","f",32,"Trp53",3.91698113207547,2249,"LN","A123-LN","A123"
"Cd19-6","f",33,"Cd19",0.779543883897719,752,"LN","A123-LN","A123"
"Kpnb1-6","f",34,"Kpnb1",0.586033117350612,407,"LN","A123-LN","A123"
"Polr2a-6","f",35,"Polr2a",0.631299734748011,357,"LN","A123-LN","A123"
"Pten-6","f",36,"Pten",6.99576743149922,5234,"LN","A123-LN","A123"
"Cd45-6","f",37,"Cd45",2.56207792207792,1644,"LN","A123-LN","A123"
"Trp53-7","g",38,"Trp53",1.51807228915663,1155,"LN","A123-LN","A123"
"Cd19-7","g",39,"Cd19",1.14021236046828,698,"LN","A123-LN","A123"
"Kpnb1-7","g",40,"Kpnb1",0.598382749326146,407,"LN","A123-LN","A123"
"Polr2a-7","g",41,"Polr2a",1.28533094812165,958,"LN","A123-LN","A123"
"Pten-7","g",42,"Pten",4.76015325670498,3106,"LN","A123-LN","A123"
"Cd45-7","g",43,"Cd45",4.01239669421488,1942,"LN","A123-LN","A123"
"Trp53-8","h",44,"Trp53",1.88905547226387,840,"LN","A123-LN","A123"
"Cd19-8","h",45,"Cd19",1.17863296955773,684,"LN","A123-LN","A123"
"Kpnb1-8","h",46,"Kpnb1",0.406662837449742,236,"LN","A123-LN","A123"
"Polr2a-8","h",47,"Polr2a",0.62621359223301,301,"LN","A123-LN","A123"
"Pten-8","h",48,"Pten",2.67525773195876,1211,"LN","A123-LN","A123"
"Cd45-8","h",49,"Cd45",1.33380986418871,622,"LN","A123-LN","A123"
"Trp53-9","i",50,"Trp53",2.48373287671233,967,"LN","A123-LN","A123"
"Cd19-9","i",51,"Cd19",0.990403071017274,516,"LN","A123-LN","A123"
"Kpnb1-9","i",52,"Kpnb1",0.730483271375465,262,"LN","A123-LN","A123"
"Polr2a-9","i",53,"Polr2a",0.349788434414669,124,"LN","A123-LN","A123"
"Pten-9","i",54,"Pten",9.73011363636364,3425,"LN","A123-LN","A123"
"Cd45-9","i",55,"Cd45",5.99297423887588,1706,"LN","A123-LN","A123"
"Trp53-10","j",56,"Trp53",0.963855421686747,360,"LN","A123-LN","A123"
"Cd19-10","j",57,"Cd19",0.826985854189336,380,"LN","A123-LN","A123"
"Kpnb1-10","j",58,"Kpnb1",0.212616822429907,91,"LN","A123-LN","A123"
"Polr2a-10","j",59,"Polr2a",0.528122020972355,277,"LN","A123-LN","A123"
"Pten-10","j",60,"Pten",7.31128404669261,3758,"LN","A123-LN","A123"
