"Name","order","gene","type","median_FC"
"Adar",2,"Adar","unknown",2.03883757603064
"Chd8",3,"Chd8","unknown",0.334243924648569
"Dnmt1",4,"Dnmt1","unknown",0.063660313032698
"Gpi1",5,"Gpi1","unknown",0.386185650120926
"Jup",6,"Jup","unknown",0.52533295750828
"Phb",7,"Phb","unknown",0.0538914854704328
"Prmt5",8,"Prmt5","unknown",0.0728227484395125
"Rnaseh2c",9,"Rnaseh2c","unknown",0.0759541032676478
"Tex10",10,"Tex10","unknown",0.226450001541735
"Usp7",11,"Usp7","unknown",0.0391912223404646
"NC1",12,"NC","control",0.870222894514392
"Akirin2",13,"Akirin2","unknown",0.0996978851963746
"Clp1",14,"Clp1","unknown",0.0526854219948849
"Dnmt3b",15,"Dnmt3b","unknown",0.174031690140845
"Gtf2i",16,"Gtf2i","unknown",0.0697466467958271
"Kidins220",17,"Kidins220","unknown",0.188744492163534
"Phb2",18,"Phb2","unknown",0.0873659808751087
"Prpf3",19,"Prpf3","unknown",0.0566117448246726
"Sdhd",20,"Sdhd","unknown",0.0739371534195934
"Thap1",21,"Thap1","unknown",0.258071045440745
"Vps52",22,"Vps52","unknown",0.11224223440355
"NC2",23,"NC","control",0.657301381182859
"Arf4",24,"Arf4","unknown",0.240926082238032
"Crkl",25,"Crkl","unknown",0.14110507017322
"Elavl1",26,"Elavl1","unknown",0.100618556701031
"Hcfc1",27,"Hcfc1","unknown",0.0654820204281517
"Krit1",28,"Krit1","unknown",0.543411371237458
"Phgdh",29,"Phgdh","unknown",0.0654630471489804
"Prpf31",30,"Prpf31","unknown",0.0346456692913386
"Shoc2",31,"Shoc2","unknown",0.186219739292365
"Tnrc6a",32,"Tnrc6a","unknown",0.300483233269878
"Wdr77",33,"Wdr77","unknown",0.0554638494552658
"NC3",34,"NC","control",1.03217922606925
"Arglu1",35,"Arglu1","unknown",0.0416792509815766
"Ctnnbl1",36,"Ctnnbl1","unknown",0.0351596835628479
"Ets2",37,"Ets2","unknown",0.550758803595108
"Hdac3",38,"Hdac3","unknown",0.0320684126135756
"Mcrs1",39,"Mcrs1","unknown",0.0262917655650904
