"Name","type","gene","organ","mouse_index","median_FC","class","target","group"
"Derl1","unknown","Derl1","29-B cell","391",0.00944553483807654,FALSE,"Derl1","Derl1Derl1"
"Derl1","unknown","Derl1","29-B cell","385",0.0472012102874433,FALSE,"Derl1","Derl1Derl1"
"Derl1","unknown","Derl1","29-B cell","8",0.0663948747815958,FALSE,"Derl1","Derl1Derl1"
"NC6","control","NC","29-B cell","385",0.576722640416908,FALSE,"Derl1","Derl1NC"
"NC7","control","NC","29-B cell","391",0.583355285821395,FALSE,"Derl1","Derl1NC"
"NC3","control","NC","29-B cell","391",0.626258589295069,FALSE,"Derl1","Derl1NC"
"NC1","control","NC","29-B cell","391",0.651803529260309,FALSE,"Derl1","Derl1NC"
"NC6","control","NC","29-B cell","8",0.734077006117308,FALSE,"Derl1","Derl1NC"
"NC1","control","NC","29-B cell","8",0.746958338453976,FALSE,"Derl1","Derl1NC"
"NC3","control","NC","29-B cell","8",0.792094861660079,FALSE,"Derl1","Derl1NC"
"NC7","control","NC","29-B cell","385",0.891449363250455,FALSE,"Derl1","Derl1NC"
"NC4","control","NC","29-B cell","8",0.931873479318735,FALSE,"Derl1","Derl1NC"
"NC2","control","NC","29-B cell","8",0.939299513897545,FALSE,"Derl1","Derl1NC"
"NC2","control","NC","29-B cell","385",0.958453311394488,FALSE,"Derl1","Derl1NC"
"NC1","control","NC","29-B cell","385",1.01104613385315,FALSE,"Derl1","Derl1NC"
"NC5","control","NC","29-B cell","8",1.02569832402235,FALSE,"Derl1","Derl1NC"
"NC6","control","NC","29-B cell","391",1.06088563394879,FALSE,"Derl1","Derl1NC"
"NC3","control","NC","29-B cell","385",1.08630393996248,FALSE,"Derl1","Derl1NC"
"NC4","control","NC","29-B cell","385",1.14703765891101,FALSE,"Derl1","Derl1NC"
"NC4","control","NC","29-B cell","391",1.1875941943147,FALSE,"Derl1","Derl1NC"
"NC8","control","NC","29-B cell","385",1.25567813108371,FALSE,"Derl1","Derl1NC"
"NC8","control","NC","29-B cell","391",1.28414081784634,FALSE,"Derl1","Derl1NC"
"NC7","control","NC","29-B cell","8",1.33420707732634,FALSE,"Derl1","Derl1NC"
"NC5","control","NC","29-B cell","391",1.46281046157811,FALSE,"Derl1","Derl1NC"
"NC2","control","NC","29-B cell","391",1.51603303396019,FALSE,"Derl1","Derl1NC"
"NC5","control","NC","29-B cell","385",1.67592149353758,FALSE,"Derl1","Derl1NC"
"NC8","control","NC","29-B cell","8",1.73557508597631,FALSE,"Derl1","Derl1NC"
"Derl1","unknown","Derl1","27-Spleen","391",0.281352235550709,TRUE,"Derl1","Derl1Derl1"
"Derl1","unknown","Derl1","10-Liver","391",0.289531079607415,TRUE,"Derl1","Derl1Derl1"
"Derl1","unknown","Derl1","26-LN","385",0.306807866868381,TRUE,"Derl1","Derl1Derl1"
"NC4","control","NC","31-CD4 effector/memory","391",0.343501326259947,TRUE,"Derl1","Derl1NC"
"Derl1","unknown","Derl1","28-Whole blood","391",0.343511450381679,TRUE,"Derl1","Derl1Derl1"
"NC6","control","NC","33-CD8 na<U+00EF>ve","8",0.343521308652604,TRUE,"Derl1","Derl1NC"
"Derl1","unknown","Derl1","15-Epididymis","385",0.355824508320726,TRUE,"Derl1","Derl1Derl1"
"NC4","control","NC","32-CD4 na<U+00EF>ve","391",0.381962864721485,TRUE,"Derl1","Derl1NC"
"NC6","control","NC","31-CD4 effector/memory","385",0.383902721482339,TRUE,"Derl1","Derl1NC"
"NC3","control","NC","27-Spleen","391",0.396818752616157,TRUE,"Derl1","Derl1NC"
"NC3","control","NC","31-CD4 effector/memory","391",0.41153483358038,TRUE,"Derl1","Derl1NC"
"Derl1","unknown","Derl1","19-Large intestine(basal layer)","391",0.414496314496314,TRUE,"Derl1","Derl1Derl1"
"Derl1","unknown","Derl1","30-Treg","385",0.41461293128443,TRUE,"Derl1","Derl1Derl1"
"NC6","control","NC","25-CD8 central memory","8",0.416696653472472,TRUE,"Derl1","Derl1NC"
"NC6","control","NC","25-CD8 central memory","385",0.418939166916392,TRUE,"Derl1","Derl1NC"
"NC4","control","NC","33-CD8 na<U+00EF>ve","391",0.421320514633112,TRUE,"Derl1","Derl1NC"
"Derl1","unknown","Derl1","17-Crude tail","391",0.42396155166495,TRUE,"Derl1","Derl1Derl1"
"NC6","control","NC","31-CD4 effector/memory","8",0.425459205467749,TRUE,"Derl1","Derl1NC"
"Derl1","unknown","Derl1","22-Small intestine(epithelium)","8",0.435619735258724,TRUE,"Derl1","Derl1Derl1"
