"name","order","num","gene","class","control_percent"
"Cd47-1",0,4,"Cd47","0",0.306428703322302
"Trp53-26",1,0,"Trp53","1-9",0.0118247801940258
"Cd19-7",2,1,"Cd19","1-9",0.153473573569308
"Kpnb1-22",3,0,"Kpnb1","1-9",0.107040893143758
"Polr2a-2",4,1,"Polr2a","1-9",0.0572773887476386
"Pten-6",5,2,"Pten","1-9",0.0316960924960584
"Cd45-5",6,0,"Cd45","1-9",0.0274810732497195
"Trp53-13",7,0,"Trp53","1-9",0.0178898626478985
"Cd19-12",8,1,"Cd19","1-9",0.0144844679914208
"Kpnb1-4",9,0,"Kpnb1","1-9",0.0168316691050097
"Polr2a-9",10,0,"Polr2a","10-29",0.0133907645980995
"Pten-16",11,1,"Pten","10-29",0.0100031248668381
"Cd45-7",12,0,"Cd45","10-29",0.0101203073732653
"Trp53-7",13,0,"Trp53","10-29",0.00700964447537747
"Cd19-11",14,0,"Cd19","10-29",0.00867505646066219
"Kpnb1-1",15,0,"Kpnb1","10-29",0.107040893143758
"Polr2a-13",16,0,"Polr2a","10-29",0.0074854764711731
"Pten-11",17,0,"Pten","10-29",0.00654446543471159
"Cd45-8",18,0,"Cd45","10-29",0.00683564620825817
"Trp53-33",19,0,"Trp53","10-29",0.0060437765436132
"Cd19-15",20,0,"Cd19","10-29",0.00442807834893399
"Kpnb1-7",21,0,"Kpnb1","10-29",0.00452750593014502
"Polr2a-20",22,1,"Polr2a","10-29",0.00315682570345014
"Pten-10",23,0,"Pten","10-29",0.0025069954405352
"Cd45-9",24,0,"Cd45","10-29",0.0032029885090124
"Trp53-4",25,0,"Trp53","10-29",0.00310711191284462
"Cd19-10",26,0,"Cd19","10-29",0.00370367740011079
"Kpnb1-8",27,0,"Kpnb1","10-29",0.00249634248540545
"Polr2a-26",28,1,"Polr2a","10-29",0.00237205800889167
"Pten-19",29,0,"Pten","10-29",0.00192108290839879
"Cd45-11",30,1,"Cd45","30-60",0.0019494907887448
"Trp53-22",31,0,"Trp53","30-60",0.00157663735920344
"Cd19-17",32,1,"Cd19","30-60",0.00235785406871866
"Kpnb1-10",33,0,"Kpnb1","30-60",0.00166541198528472
"Polr2a-3",34,0,"Polr2a","30-60",0.00168671789554422
"Pten-35",35,0,"Pten","30-60",0.00158018834424669
"Cd45-13",36,0,"Cd45","30-60",0.00139198613695439
"Trp53-10",37,0,"Trp53","30-60",0.00111500930358081
"Cd19-32",38,0,"Cd19","30-60",0.00140263909208414
"Kpnb1-12",39,0,"Kpnb1","30-60",0.00146300583781941
"Polr2a-22",40,0,"Polr2a","30-60",0.0019636947289178
"Pten-30",41,0,"Pten","30-60",0.00191398093831229
"Cd45-20",42,0,"Cd45","30-60",0.0012392937800946
"Trp53-14",43,0,"Trp53","30-60",0.00104043861767254
"Cd19-21",44,0,"Cd19","30-60",0.00148431174807892
"Kpnb1-16",45,0,"Kpnb1","30-60",0.00156243341903044
"Polr2a-23",46,0,"Polr2a","30-60",0.00129966052582987
"Pten-33",47,0,"Pten","30-60",0.000983622856980526
"Cd45-14",48,1,"Cd45","30-60",0.00117182506427283
"Trp53-35",49,0,"Trp53","30-60",0.00122153885487834
"Cd19-30",50,0,"Cd19","30-60",0.00124284476513785
"Kpnb1-14",51,0,"Kpnb1","30-60",0.00115762112409983
"Polr2a-28",52,0,"Polr2a","30-60",0.00102978566254279
"Pten-34",53,0,"Pten","30-60",0.000671136173174439
"Cd45-29",54,0,"Cd45","30-60",0.000777665724471969
"Trp53-2",55,0,"Trp53","30-60",0.00099782679715353
"Cd19-27",56,0,"Cd19","30-60",0.000972969901850773
"Kpnb1-17",57,0,"Kpnb1","30-60",0.000656932233001435
"Polr2a-38",58,0,"Polr2a","30-60",0.00140974106217065
"Pten-28",59,0,"Pten","30-60",0.000976520886894024
"Cd45-15",60,0,"Cd45","30-60",0.00103688763262929
