"order","gene","num","type","control_percent"
0,"CD19",7,"first gRNA",0.107498985039372
1,"Adar",2,"unknown",0.013382283020957
2,"Chd8",8,"unknown",0.0968999737304308
3,"Dnmt1",11,"unknown",0.0829119708907121
4,"Gpi1",1,"unknown",0.0587179147606755
5,"Jup",1,"unknown",0.0459999696054571
6,"Phb",3,"unknown",0.0421420336988639
7,"Prmt5",1,"unknown",0.0318078891207076
8,"Rnaseh2c",2,"unknown",0.0313541420163306
9,"Tex10",3,"unknown",0.0274983771485143
10,"Usp7",1,"unknown",0.0216691380324744
11,"NC1",1,"control",0.0173639681378349
12,"Akirin2",3,"unknown",0.0205032902092664
13,"Clp1",1,"unknown",0.0183496197425582
14,"Dnmt3b",0,"unknown",0.0179479775688274
15,"Gtf2i",3,"unknown",0.0158572672266499
16,"Kidins220",0,"unknown",0.0145025390298496
17,"Phb2",0,"unknown",0.013382283020957
18,"Prpf3",5,"unknown",0.0122359745467414
19,"Sdhd",1,"unknown",0.0126745243796799
20,"Thap1",0,"unknown",0.00948526841637918
21,"Vps52",0,"unknown",0.00985651604723312
22,"NC2",0,"control",0.00741843950074792
23,"Arf4",0,"unknown",0.00727297990269404
24,"Crkl",1,"unknown",0.00811100087058655
25,"Elavl1",0,"unknown",0.00705153394744784
26,"Hcfc1",0,"unknown",0.00686482461263241
27,"Krit1",0,"unknown",0.00650009009810924
28,"Phgdh",1,"unknown",0.00703850771478629
29,"Prpf31",1,"unknown",0.0067996934493247
30,"Shoc2",0,"unknown",0.00597686975287066
31,"Tnrc6a",0,"unknown",0.00616575012646301
32,"Wdr77",0,"unknown",0.00565121393633212
33,"NC3",0,"control",0.00559693796690903
34,"Arglu1",0,"unknown",0.00571634509963982
35,"Ctnnbl1",0,"unknown",0.00642410374091692
36,"Ets2",1,"unknown",0.00626995998775534
37,"Hdac3",0,"unknown",0.00483924543376269
38,"Mcrs1",0,"unknown",0.00498470503181657
39,"Pnkp",0,"unknown",0.00515621709519354
40,"Psen1",0,"unknown",0.00469378583570881
41,"Slk",3,"unknown",0.00386662006170092
42,"Tra2b",0,"unknown",0.00415753925780868
43,"Wtap",0,"unknown",0.00423135457622409
44,"NC4",0,"control",0.00415971029658561
45,"Arid4b",0,"unknown",0.00347366204307775
46,"Ddx11",0,"unknown",0.00395346161277787
47,"Fbxl5",0,"unknown",0.00366471345544703
48,"Hdac7",0,"unknown",0.00323701881639308
49,"Mfn2",0,"unknown",0.00342589918998543
50,"Pno1",0,"unknown",0.00317840076941614
51,"Ptbp1",0,"unknown",0.00306333571423919
52,"Sprtn",0,"unknown",0.00324570297150077
53,"Trim28",0,"unknown",0.00284188975899299
54,"Ybx1",0,"unknown",0.00280281106100836
55,"NC5",0,"control",0.00320879531229307
56,"Asf1a",0,"unknown",0.00296346793050071
57,"Ddx24",0,"unknown",0.00226873552188516
58,"Fth1",1,"unknown",0.00180630426240043
59,"Hsp90ab1",0,"unknown",0.00252708913633906
60,"Morf4l2",0,"unknown",0.00215584150548513
61,"Ppp2r1a",0,"unknown",0.00181498841750813
62,"Ptma",1,"unknown",0.00210807865239281
63,"Strap",0,"unknown",0.0025118918649006
64,"Tsc2",0,"unknown",0.00209505241973127
65,"Ythdc1",0,"unknown",0.00241853719749288
66,"NC6",0,"control",0.00209288138095435
67,"Atg13",0,"unknown",0.00211024969116973
68,"Derl1",0,"unknown",0.00204728956663895
69,"Ggnbp2",0,"unknown",0.00218189397080821
70,"Hspa9",0,"unknown",0.00212110488505435
71,"Mov10",0,"unknown",0.00183886984405428
72,"Ppp6c",0,"unknown",0.00151321402751575
73,"Rere",0,"unknown",0.0023555770729621
74,"Tardbp",2,"unknown",0.00247932628324675
75,"Tsg101",1,"unknown",0.00224268305656207
76,"Zfp110",1,"unknown",0.00241419511993904
77,"NC7",0,"control",0.00207551307073896
78,"Brd4",0,"unknown",0.0020798551482928
79,"Dhx30",0,"unknown",0.00245327381792366
80,"Gnl3",0,"unknown",0.00212327592383128
81,"Hspd1",0,"unknown",0.00232952460763902
82,"Nsrp1",0,"unknown",0.00162393700513885
83,"Prkaca",0,"unknown",0.00195610593800816
84,"Rhoa",0,"unknown",0.0014719642907542
85,"Tax1bp1",0,"unknown",0.00220577539735437
86,"Upf3a",0,"unknown",0.00217755189325437
87,"Zpr1",0,"unknown",0.00223834097900823
88,"NC8",0,"control",0.00204946060541587
89,"Ccm2",0,"unknown",0.00243590550770827
90,"Dkc1",0,"unknown",0.00218623604836206
91,"Ndufa13",0,"unknown",0.00212110488505435
92,"Impdh2",0,"unknown",0.00233386668519286
93,"Mcm3ap",1,"unknown",0.00229261694843132
94,"Pdha1",0,"unknown",0.0023186694137544
95,"Prkacb",0,"unknown",0.00235123499540825
96,"Rnaseh1",0,"unknown",0.00298300727949302
97,"Tbx6",0,"unknown",0.00377760747184705
98,"Use1",0,"unknown",0.00434859067017796
99,"CD47",0,"unknown",0.00891428521804828
