"Target","Sample","Cq","fc","line"
"cd47","Cerebrum",18.14,0.456915725114701,"Line1"
"cd47","Cerebrum",18.42,0.25,"Line1"
"cd47","Cerebrum",17.46,0.435275281648062,"Line1"
"cd47","Heart",15.11,5.81589006928124,"Line1"
"cd47","Heart",14.71,6.68070335542695,"Line1"
"cd47","Heart",14.68,8,"Line1"
"cd47","Kidney",15.44,1.33792755478611,"Line1"
"cd47","Kidney",15.36,1.11728713807222,"Line1"
"cd47","Kidney",14.96,1.50524674741107,"Line1"
"cd47","Liver",17.25,0.687770909069872,"Line1"
"cd47","Liver",17.6,0.432268615653932,"Line1"
"cd47","Liver",17.19,0.535886731268146,"Line1"
"cd47","Lung",17.18,0.450625231305416,"Line1"
"cd47","Lung",16.79,0.400534938794811,"Line1"
"cd47","Lung",16.53,0.598739352309464,"Line1"
"cd47","Small Intestine",12.48,1.558329159321,"Line1"
"cd47","Small Intestine",13.09,0.768437590644007,"Line1"
"cd47","Small Intestine",12.71,1.29235283063749,"Line1"
"cd47","Spleen",16.32,0.1894645708138,"Line1"
"cd47","Spleen",16.44,0.173138683513865,"Line1"
"cd47","Spleen",16.03,0.299369676154732,"Line1"
"CD47","Testis",23.41,52.345731747698,"Line1"
"CD47","Testis",23.65,45.8865679365066,"Line1"
"CD47","Testis",23.53,51.2684721657358,"Line1"
"cd47","Thymus",14.54,0.801069877589623,"Line1"
"cd47","Thymus",15.05,0.543367431263029,"Line1"
"cd47","Thymus",14.19,0.752623373705534,"Line1"
