Name,LN,Whole blood,Cerebrum,Dorsal skin dermis,Ear lobe,Epididymis,Eyeball,Heart,Kidney,Large intestine(crude),Large intestine(basal layer),Large intestine(epithelium),Liver,Lung,Oral mucosa,Dorsal epidermis,Small intestine(basal layer),Small intestine(epithelium),Spleen,B cell,CD4 effector/memory,CD4 naive,CD8 central memory,CD8 effector/memory,CD8 naive,Treg,Tail epidermis,Crude testis,Spermatogonia,Meiosis II,Round spermatid,Sperm,Pachytene/Diplotene,Thyroid,Tongue,mFat,pFat,Crude tail,Cerebellum
Adar,0.10318083,0.151495385,0.549998683,0.420100147,0.376256853,0.729299392,0.240816175,0.726424925,0.40572592,0.286316842,0.326937166,0.175636853,0.494821264,0.40688866,0.259236227,0.348317665,0.279368095,0.171827218,0.121467974,0.12086556,0.085041758,0.040399084,0.168726655,0.080619405,0.057704629,0.085361427,0.370319464,2.30782723,2.339266821,1.990954817,2.479074626,1.862398166,2.50564014,0.365664207,0.335828511,0.384389432,0.473678026,0.517744938,0.918805293
Chd8,0.249923419,0.106173964,0.983131555,0.556106784,0.374662826,0.491150006,0.516598031,0.900945578,0.696960089,0.264547486,0.35189314,0.237629697,0.70041161,0.680111509,0.300059671,0.310815556,0.341355908,0.278828771,0.255638612,0.186839171,0.24393526,0.1999152,0.274043874,0.256905007,0.224119799,0.304920591,0.232766531,0.167001862,0.203144453,0.124411554,0.158972378,0.151455218,0.132163758,0.452836661,0.487731226,0.363196505,0.483356438,0.429175118,1.165366428
Dnmt1,0.0827316,0.062384994,0.878449772,0.323928568,0.292226544,0.329611662,0.527602283,0.872671866,0.49993875,0.107906456,0.212862785,0.022918602,0.263976525,0.555320622,0.258654291,0.080116879,0.140615765,0.021482954,0.076470186,0.048140617,0.048004562,0.056211023,0.094353285,0.082199736,0.058562602,0.059011711,0.067227258,0.0390077,0.034301537,0.013333443,0.017081373,0.051868956,0.008844336,0.458552243,0.439402914,0.200863443,0.381840626,0.221178578,1.051177133
Gpi1,0.498492533,0.318592715,0.853786413,0.75325555,0.544436872,0.624248211,0.585962005,1.025885234,0.867819995,0.509845139,0.578493802,0.470773797,0.851574934,0.803929236,0.496056221,0.61568721,0.529511128,0.434261236,0.448326378,0.420473395,0.361842733,0.365646137,0.471348485,0.418616742,0.40237205,0.456812251,0.432728436,0.316227586,0.301540372,0.360805337,0.252798062,0.275741762,0.332836819,0.614175382,0.630998194,0.641453769,0.696182638,0.643500158,0.986090914
Jup,0.693240536,0.3641695,0.89358071,1.004389251,0.69817827,1.049946897,0.622138623,1.034165376,0.867132182,0.77835398,0.739919854,0.621155445,0.905926092,0.848674342,1.599564956,1.129844605,0.705299418,0.565088166,0.644489522,0.607671976,0.609361723,0.518088948,0.773321844,0.763901813,0.528472501,0.687202291,1.113371336,0.563259566,0.570603495,0.494079663,0.499978799,0.591301899,0.580285641,0.655818994,1.083678732,0.81647516,0.785227966,1.038023503,0.970077994
Phb,0.066924942,0.071461606,0.855367156,0.320008725,0.308855286,0.316963682,0.532019488,0.800607526,0.33060497,0.100818574,0.201107585,0.005088437,0.234900389,0.543256212,0.275413809,0.099273349,0.148240853,0.00721954,0.080361473,0.023392184,0.014620514,0.02462325,0.099119466,0.104668123,0.015875259,0.023104905,0.076634348,0.031295194,0.031002142,0.009490378,0.015153643,0.045554184,0.005565797,0.514313142,0.435090526,0.171960892,0.380910026,0.258855162,1.021653165
Prmt5,0.111322552,0.07966072,0.831460665,0.338850917,0.350532558,0.354348937,0.617288158,0.805891919,0.513869688,0.140590342,0.21190673,0.039746754,0.271417296,0.527393304,0.299353686,0.164965261,0.187991037,0.046135475,0.097750523,0.067426944,0.049892974,0.070284821,0.113476038,0.168217976,0.057318123,0.080664365,0.115134362,0.039984994,0.046243653,0.013751267,0.019100607,0.052257063,0.01078778,0.482268772,0.463995888,0.171124588,0.397747851,0.310179238,1.04031743
Rnaseh2c,0.112980148,0.118835493,0.922198732,0.377163845,0.420597774,0.48863054,0.686828668,0.889187867,0.751820311,0.089561662,0.256333571,0.022199656,0.682305892,0.603619247,0.368864266,0.133469957,0.158662653,0.019697111,0.096379192,0.077081891,0.081818323,0.071118901,0.213749721,0.172133247,0.076040771,0.106614315,0.174195207,0.051347033,0.069149876,0.016934893,0.0240059,0.062803396,0.016563768,0.58703965,0.613297275,0.717468272,0.581453956,0.363699755,1.071791767
Tex10,0.147786982,0.146204697,0.91753821,0.364829158,0.377325553,0.349071863,0.618701933,0.805268314,0.404345487,0.222364013,0.283816232,0.154571623,0.263418978,0.524950734,0.329010538,0.179019914,0.232630163,0.138817354,0.143020752,0.130724803,0.077757535,0.111965502,0.195968756,0.155148883,0.098768723,0.117335723,0.17652062,0.136710835,0.153492232,0.113885428,0.115017673,0.124667161,0.114320575,0.570906928,0.53388979,0.228866067,0.420183549,0.329107113,1.020406596
Usp7,0.035290634,0.064869643,0.748192849,0.246834562,0.300496728,0.269179276,0.650376878,0.720813614,0.399158688,0.084159099,0.190952586,0.00516095,0.240501175,0.470789297,0.244715475,0.086938414,0.115877201,0.003400287,0.057893919,0.012741833,0.003400366,0.009264135,0.051168102,0.072021744,0.005993626,0.015165842,0.063122752,0.025242361,0.026181713,0.008605786,0.011036847,0.033752295,0.004790788,0.543013908,0.495768209,0.182731462,0.319723059,0.216642068,0.958946397
