"Name","organ","mouse_index","fold change"
"Cd19","LN","264",0.864183422537249
"Cd19","Epididymis","264",1.02705449762339
"Cd19","Heart","264",1.18710915732772
"Cd19","Kidney","264",1.15970494020955
"Cd19","Large intestine(crude)","264",0.605363068368659
"Cd19","Lung","264",1.01458706540416
"Cd19","Small intestine(basal layer)","264",0.601058264326926
"Cd19","Spleen","264",0.705305121128488
"Cd19","Tail epidermis","264",0.554243520373083
"Cd19","Crude testis","264",0.0249319900750351
"Cd19","Spermatogonia","264",0.0521957490060088
"Cd19","Meiosis II","264",0.0346177991689337
"Cd19","Round spermatid","264",0.0130937789602702
"Cd19","Sperm","264",0.0735404023796
"Cd19","Pachytene/Diplotene","264",0.0100445427640429
"Cd19","Crude tail","264",0.934739150061263
"Cd19","Cerebellum","264",0.334519147409644
"Cd19","LN","385",0.467609339033213
"Cd19","Cerebrum","385",0.156407880182954
"Cd19","Epididymis","385",0.240172192161669
"Cd19","Dorsal skin dermis","385",0.48859525873666
"Cd19","Ear lobe","385",0.233356252428926
"Cd19","Eyeball","385",0.0678006636572898
"Cd19","Heart","385",0.483214253684494
"Cd19","Kidney","385",0.282861498908852
"Cd19","Large intestine(basal layer)","385",0.359989237989896
"Cd19","Large intestine(epithelium)","385",0.855223679156155
"Cd19","Liver","385",1.16922015579637
"Cd19","Lung","385",0.959178359612325
"Cd19","Oral mucosa","385",0.304206152282443
"Cd19","Dorsal epidermis","385",0.515500283997489
"Cd19","Small intestine(basal layer)","385",0.18223670443335
"Cd19","Small intestine(epithelium)","385",0.072643568204239
"Cd19","Spleen","385",0.511195479955756
"Cd19","B cell","385",0.460075931960181
"Cd19","CD4 effector/memory","385",0.631012525783982
"Cd19","CD4 naive","385",0.422767630265164
"Cd19","CD8 central memory","385",1.28567690921248
"Cd19","CD8 effector/memory","385",1.18300206428782
"Cd19","CD8 naive","385",0.54258467609339
"Cd19","Treg","385",0.714055741793962
"Cd19","Crude tail","385",0.2173926041075
"Cd19","Tail epidermis","385",0.191025679351888
"Cd19","Crude testis","385",0.00789214074317659
"Cd19","Spermatogonia","385",0.20591312666288
"Cd19","Meiosis II","385",0.00735404023796
"Cd19","Round spermatid","385",0.00286986936115512
"Cd19","Sperm","385",0.0408956383964605
"Cd19","Pachytene/Diplotene","385",0.00466353771187707
"Cd19","Thyroid","385",1.01440866111784
"Cd19","Tongue","385",0.472631610415234
"Cd19","mFat","385",0.727691249887896
"Cd19","pFat","385",1.04756557311302
"Cd19","Cerebellum","385",0.0848405129891483
"Cd19","LN","391",0.986727536160638
"Cd19","Whole blood","391",1.28220809581099
"Cd19","Cerebrum","391",1.00922940788429
"Cd19","Ear lobe","391",0.939227275414752
"Cd19","Eyeball","391",0.637109167462121
"Cd19","Heart","391",0.793288257167033
"Cd19","Kidney","391",0.643385125394308
"Cd19","Large intestine(crude)","391",0.506584155966254
"Cd19","Large intestine(basal layer)","391",0.567998695729843
"Cd19","Liver","391",1.03128219879532
"Cd19","Lung","391",1.0158952020764
"Cd19","Oral mucosa","391",1.45113289935475
"Cd19","Small intestine(basal layer)","391",0.617929064846011
"Cd19","Spleen","391",0.807808691573822
"Cd19","B cell","391",0.795206687626183
"Cd19","CD4 effector/memory","391",1.17246726198348
