sample,Name,order,gene,first_percent,percent
1,Cd19,1,Cd19,0.789384769,0.789384769
1,Snu13,2,Snu13,0.789384769,0.007088616
1,Polr2a,3,Polr2a,0.789384769,0.005088165
1,Cd45,4,Cd45,0.789384769,0.00358426
1,Trp53rkb,5,Trp53rkb,0.789384769,0.004628718
1,Fbl,6,Fbl,0.789384769,0.004132172
1,Tyw5,7,Tyw5,0.789384769,0.007037249
1,Trmu,8,Trmu,0.789384769,0.008461251
1,Ftsj1,9,Ftsj1,0.789384769,0.003538601
1,Mrm1,10,Mrm1,0.789384769,0.006646291
1,NC1,11,NC,0.789384769,0.004971163
1,Cmtr2,12,Cmtr2,0.789384769,0.006592071
1,Ythdf1-1,13,Ythdf1-1,0.789384769,0.002848003
1,Fto-2,14,Fto-2,0.789384769,0.003278913
1,Lage3,15,Lage3,0.789384769,0.004600181
1,Alkbh3-3,16,Alkbh3-3,0.789384769,0.002907931
1,Adat2,17,Adat2,0.789384769,0.003709823
1,Osgep,18,Osgep,0.789384769,0.002334335
1,Pus10,19,Pus10,0.789384769,0.001321268
1,Nsun2,20,Nsun2,0.789384769,0.002502704
1,NC2,21,NC,0.789384769,0.002071794
1,Rnmt,22,Rnmt,0.789384769,0.002086062
1,Pus7,23,Pus7,0.789384769,0.00239997
1,Mettl3-3,24,Mettl3-3,0.789384769,0.002111746
1,Trmt5,25,Trmt5,0.789384769,0.001244218
1,Mettl14,26,Mettl14,0.789384769,0.001304146
1,Qtrt1,27,Qtrt1,0.789384769,0.0017693
1,Trmo,28,Trmo,0.789384769,0.002071794
1,Mrm2,29,Mrm2,0.789384769,0.002066086
1,Dimt1,30,Dimt1,0.789384769,0.002011866
1,NC3,31,NC,0.789384769,0.002482728
1,Nsun4,32,Nsun4,0.789384769,0.001960499
1,Dcps,33,Dcps,0.789384769,0.001529589
1,Ctu1,34,Ctu1,0.789384769,0.00156098
1,Trmt10c,35,Trmt10c,0.789384769,0.001204266
1,Mettl3-2,36,Mettl3-2,0.789384769,0.001346951
1,Adat1,37,Adat1,0.789384769,0.00234575
1,Trp53rka,38,Trp53rka,0.789384769,0.002887955
1,Thg1l,39,Thg1l,0.789384769,0.001794984
1,Cdkal1,40,Cdkal1,0.789384769,0.001760739
1,NC4,41,NC,0.789384769,0.001532442
1,Trmt10b,42,Trmt10b,0.789384769,0.001889156
1,Rpusd4,43,Rpusd4,0.789384769,0.001172875
1,Elp3,44,Elp3,0.789384769,0.001603785
1,Tprkb,45,Tprkb,0.789384769,0.001341244
1,Trmt112,46,Trmt112,0.789384769,0.001344098
1,Ythdc1-1,47,Ythdc1-1,0.789384769,0.001501052
1,Tgs1,48,Tgs1,0.789384769,0.001124362
1,Mettl3-1,49,Mettl3-1,0.789384769,0.001275608
1,Alkbh3-2,50,Alkbh3-2,0.789384769,0.001258486
1,NC5,51,NC,0.789384769,0.0025769
1,Nc5,52,NC,0.789384769,0.0025769
1,Ythdf1-2,53,Ythdf1-2,0.789384769,0.001309853
1,Mettl1,54,Mettl1,0.789384769,0.000918895
1,Fto-1,55,Fto-1,0.789384769,0.00196906
1,Nfs1,56,Nfs1,0.789384769,0.001441124
1,Gon7-1,57,Gon7-1,0.789384769,0.001652298
1,Cmtr1,58,Cmtr1,0.789384769,0.000870382
1,Bcdin3d,59,Bcdin3d,0.789384769,0.000847552
1,Txn1,60,Txn1,0.789384769,0.00186918
1,NC6,61,NC,0.789384769,0.001832082
1,Mepce,62,Mepce,0.789384769,0.001589517
1,Mettl2,63,Mettl2,0.789384769,0.001800691
1,Iscu,64,Iscu,0.789384769,0.000970261
1,Trmt61b,65,Trmt61b,0.789384769,0.00156098
1,Alkbh8,66,Alkbh8,0.789384769,0.000975969
1,Mrm3,67,Mrm3,0.789384769,0.002148844
1,Elp1,68,Elp1,0.789384769,0.001332683
1,Bud23,69,Bud23,0.789384769,0.001755032
1,Hsd17b10,70,Hsd17b10,0.789384769,0.001201412
1,NC7,71,NC,0.789384769,0.002000451
