Name,organ,gene,median_FC,class,target,group
Qtrt2,44-Pachytene/Diplotene,Qtrt2,0.081109925,FALSE,Qtrt2,Qtrt2Qtrt2
Qtrt2,42-Spermatogonia,Qtrt2,0.084628099,FALSE,Qtrt2,Qtrt2Qtrt2
Qtrt2,46-Round spermatid,Qtrt2,0.108553133,FALSE,Qtrt2,Qtrt2Qtrt2
Qtrt2,45-Meiosis II,Qtrt2,0.108858058,FALSE,Qtrt2,Qtrt2Qtrt2
Qtrt2,43-Leptotene/Zygotene,Qtrt2,0.111515152,FALSE,Qtrt2,Qtrt2Qtrt2
Qtrt2,44-Pachytene/Diplotene,Qtrt2,0.11373685,FALSE,Qtrt2,Qtrt2Qtrt2
Qtrt2,46-Round spermatid,Qtrt2,0.122975207,FALSE,Qtrt2,Qtrt2Qtrt2
Qtrt2,45-Meiosis II,Qtrt2,0.124958678,FALSE,Qtrt2,Qtrt2Qtrt2
Qtrt2,43-Leptotene/Zygotene,Qtrt2,0.130247934,FALSE,Qtrt2,Qtrt2Qtrt2
Qtrt2,44-Pachytene/Diplotene,Qtrt2,0.139724518,FALSE,Qtrt2,Qtrt2Qtrt2
Qtrt2,42-Spermatogonia,Qtrt2,0.141928375,FALSE,Qtrt2,Qtrt2Qtrt2
Qtrt2,42-Spermatogonia,Qtrt2,0.150811735,FALSE,Qtrt2,Qtrt2Qtrt2
Qtrt2,43-Leptotene/Zygotene,Qtrt2,0.154710744,FALSE,Qtrt2,Qtrt2Qtrt2
Qtrt2,46-Round spermatid,Qtrt2,0.211617625,FALSE,Qtrt2,Qtrt2Qtrt2
Qtrt2,45-Meiosis II,Qtrt2,0.216639118,FALSE,Qtrt2,Qtrt2Qtrt2
NC3,44-Pachytene/Diplotene,NC,0.58015339,FALSE,Qtrt2,Qtrt2NC
NC8,44-Pachytene/Diplotene,NC,0.610872767,FALSE,Qtrt2,Qtrt2NC
NC1,43-Leptotene/Zygotene,NC,0.616806544,FALSE,Qtrt2,Qtrt2NC
NC3,42-Spermatogonia,NC,0.632839838,FALSE,Qtrt2,Qtrt2NC
NC6,46-Round spermatid,NC,0.639767977,FALSE,Qtrt2,Qtrt2NC
NC1,44-Pachytene/Diplotene,NC,0.640149248,FALSE,Qtrt2,Qtrt2NC
NC3,45-Meiosis II,NC,0.650839656,FALSE,Qtrt2,Qtrt2NC
NC1,43-Leptotene/Zygotene,NC,0.656326357,FALSE,Qtrt2,Qtrt2NC
NC1,44-Pachytene/Diplotene,NC,0.660213313,FALSE,Qtrt2,Qtrt2NC
NC6,45-Meiosis II,NC,0.660699301,FALSE,Qtrt2,Qtrt2NC
NC1,42-Spermatogonia,NC,0.672580474,FALSE,Qtrt2,Qtrt2NC
NC8,42-Spermatogonia,NC,0.738810271,FALSE,Qtrt2,Qtrt2NC
NC6,45-Meiosis II,NC,0.739315875,FALSE,Qtrt2,Qtrt2NC
NC1,46-Round spermatid,NC,0.742483799,FALSE,Qtrt2,Qtrt2NC
NC1,42-Spermatogonia,NC,0.751057479,FALSE,Qtrt2,Qtrt2NC
NC3,44-Pachytene/Diplotene,NC,0.763873498,FALSE,Qtrt2,Qtrt2NC
NC1,45-Meiosis II,NC,0.775204504,FALSE,Qtrt2,Qtrt2NC
NC3,43-Leptotene/Zygotene,NC,0.78612224,FALSE,Qtrt2,Qtrt2NC
NC1,46-Round spermatid,NC,0.79379774,FALSE,Qtrt2,Qtrt2NC
NC1,45-Meiosis II,NC,0.797282551,FALSE,Qtrt2,Qtrt2NC
NC8,43-Leptotene/Zygotene,NC,0.82064417,FALSE,Qtrt2,Qtrt2NC
NC6,42-Spermatogonia,NC,0.823496503,FALSE,Qtrt2,Qtrt2NC
NC6,43-Leptotene/Zygotene,NC,0.825174825,FALSE,Qtrt2,Qtrt2NC
NC7,42-Spermatogonia,NC,0.840187402,FALSE,Qtrt2,Qtrt2NC
NC6,43-Leptotene/Zygotene,NC,0.854265734,FALSE,Qtrt2,Qtrt2NC
NC3,42-Spermatogonia,NC,0.858238854,FALSE,Qtrt2,Qtrt2NC
NC7,44-Pachytene/Diplotene,NC,0.862051015,FALSE,Qtrt2,Qtrt2NC
NC6,44-Pachytene/Diplotene,NC,0.868531469,FALSE,Qtrt2,Qtrt2NC
NC6,44-Pachytene/Diplotene,NC,0.869316728,FALSE,Qtrt2,Qtrt2NC
NC7,43-Leptotene/Zygotene,NC,0.871811556,FALSE,Qtrt2,Qtrt2NC
NC7,45-Meiosis II,NC,0.881572098,FALSE,Qtrt2,Qtrt2NC
