Name,type,organ,mouse_index,median_FC
Snu13,unknown,TNF low,K141,0.249766971
Polr2a,positive control,TNF low,K141,0.054215831
Trp53rkb,unknown,TNF low,K141,0.383890073
Fbl,unknown,TNF low,K141,0.149692511
Tyw5,unknown,TNF low,K141,0.500455531
Trmu,unknown,TNF low,K141,0.223903601
Ftsj1,unknown,TNF low,K141,0.692991952
Mrm1,unknown,TNF low,K141,0.60818137
NC1,control,TNF low,K141,0.752954323
Cmtr2,unknown,TNF low,K141,0.294841833
Ythdf1-1,unknown,TNF low,K141,0.443542934
Fto-2,unknown,TNF low,K141,0.571597833
Lage3,unknown,TNF low,K141,0.317284925
Alkbh3-3,unknown,TNF low,K141,0.603051922
Adat2,unknown,TNF low,K141,0.533782159
Osgep,unknown,TNF low,K141,0.100042105
Pus10,unknown,TNF low,K141,0.847062685
Nsun2,unknown,TNF low,K141,0.769985379
NC2,control,TNF low,K141,0.751038987
Rnmt,unknown,TNF low,K141,0.365464222
Pus7,unknown,TNF low,K141,0.616029963
Mettl3-3,unknown,TNF low,K141,0.358432813
Trmt5,unknown,TNF low,K141,0.460454488
Mettl14,unknown,TNF low,K141,0.339960887
Qtrt1,unknown,TNF low,K141,0.619661267
Trmo,unknown,TNF low,K141,0.73477582
Mrm2,unknown,TNF low,K141,0.107453344
Dimt1,unknown,TNF low,K141,0.22823726
NC3,control,TNF low,K141,0.998720445
Nsun4,unknown,TNF low,K141,0.359183673
Dcps,unknown,TNF low,K141,0.501262712
Ctu1,unknown,TNF low,K141,0.750166556
Trmt10c,unknown,TNF low,K141,0.231123171
Mettl3-2,unknown,TNF low,K141,0.34086171
Adat1,unknown,TNF low,K141,0.883349313
Trp53rka,unknown,TNF low,K141,0.938620894
Thg1l,unknown,TNF low,K141,0.105309182
Cdkal1,unknown,TNF low,K141,0.632863431
NC4,control,TNF low,K141,0.923915512
Trmt10b,unknown,TNF low,K141,0.726466864
Rpusd4,unknown,TNF low,K141,0.476135992
Elp3,unknown,TNF low,K141,0.504619758
Tprkb,unknown,TNF low,K141,0.173601543
Trmt112,unknown,TNF low,K141,0.204799741
Ythdc1-1,unknown,TNF low,K141,0.25860958
Tgs1,unknown,TNF low,K141,0.361300861
Mettl3-1,unknown,TNF low,K141,0.45388649
Alkbh3-2,unknown,TNF low,K141,1.019194689
NC5,control,TNF low,K141,1.136452666
Ythdf1-2,unknown,TNF low,K141,1.05
Mettl1,unknown,TNF low,K141,0.422907489
Fto-1,unknown,TNF low,K141,1.209196934
Nfs1,unknown,TNF low,K141,0.115349405
Gon7-1,unknown,TNF low,K141,1.305098871
Cmtr1,unknown,TNF low,K141,0.316115702
Bcdin3d,unknown,TNF low,K141,1.208011445
Txn1,unknown,TNF low,K141,0.114270908
NC6,control,TNF low,K141,1.506542543
Mepce,unknown,TNF low,K141,0.445584906
Mettl2,unknown,TNF low,K141,1.059479554
Iscu,unknown,TNF low,K141,0.114165968
Trmt61b,unknown,TNF low,K141,1.45062481
Alkbh8,unknown,TNF low,K141,1.438764451
Mrm3,unknown,TNF low,K141,1.500611662
Elp1,unknown,TNF low,K141,1.138620016
Bud23,unknown,TNF low,K141,0.236975357
Hsd17b10,unknown,TNF low,K141,0.875198188
NC7,control,TNF low,K141,2.017610566
Adat3,unknown,TNF low,K141,0.68591737
Trdmt1,unknown,TNF low,K141,1.689278683
Gon7-2,unknown,TNF low,K141,1.438002172
Mettl6,unknown,TNF low,K141,1.693853601
Thumpd1,unknown,TNF low,K141,1.827669474
Wdr4,unknown,TNF low,K141,0.622008965
