Name,type,organ,mouse_index,median_FC
Snu13,unknown,14-mFat,I362,0.612695295
Polr2a,positive control,14-mFat,I362,0.34885221
Trp53rkb,unknown,14-mFat,I362,0.516798792
Fbl,unknown,14-mFat,I362,0.350065271
Tyw5,unknown,14-mFat,I362,0.61172801
Trmu,unknown,14-mFat,I362,0.333876255
Ftsj1,unknown,14-mFat,I362,0.743324827
Mrm1,unknown,14-mFat,I362,0.676799702
NC1,control,14-mFat,I362,0.8804613
Cmtr2,unknown,14-mFat,I362,0.645291134
Ythdf1-1,unknown,14-mFat,I362,0.865578635
Fto-2,unknown,14-mFat,I362,0.71972421
Lage3,unknown,14-mFat,I362,0.583218707
Alkbh3-3,unknown,14-mFat,I362,0.833289851
Adat2,unknown,14-mFat,I362,0.580030689
Osgep,unknown,14-mFat,I362,0.199611866
Pus10,unknown,14-mFat,I362,0.811637931
Nsun2,unknown,14-mFat,I362,0.672590567
NC2,control,14-mFat,I362,1.027108041
Rnmt,unknown,14-mFat,I362,0.602564814
Pus7,unknown,14-mFat,I362,0.835019046
Mettl3-3,unknown,14-mFat,I362,0.750503018
Trmt5,unknown,14-mFat,I362,0.875551486
Mettl14,unknown,14-mFat,I362,0.539330633
Qtrt1,unknown,14-mFat,I362,1.105135659
Trmo,unknown,14-mFat,I362,0.998973607
Mrm2,unknown,14-mFat,I362,0.540310313
Dimt1,unknown,14-mFat,I362,0.574374726
NC3,control,14-mFat,I362,1.188501207
Nsun4,unknown,14-mFat,I362,0.711602064
Dcps,unknown,14-mFat,I362,0.633980496
Ctu1,unknown,14-mFat,I362,0.622663551
Trmt10c,unknown,14-mFat,I362,0.504906885
Mettl3-2,unknown,14-mFat,I362,0.658914729
Adat1,unknown,14-mFat,I362,0.988264878
Trp53rka,unknown,14-mFat,I362,1.025773196
Thg1l,unknown,14-mFat,I362,0.169508278
Cdkal1,unknown,14-mFat,I362,0.956000585
NC4,control,14-mFat,I362,1.08065639
Trmt10b,unknown,14-mFat,I362,1.018920423
Rpusd4,unknown,14-mFat,I362,0.582411683
Elp3,unknown,14-mFat,I362,0.676607642
Tprkb,unknown,14-mFat,I362,0.462871585
Trmt112,unknown,14-mFat,I362,0.480999146
Ythdc1-1,unknown,14-mFat,I362,0.459411156
Tgs1,unknown,14-mFat,I362,0.392648775
Mettl3-1,unknown,14-mFat,I362,0.578744939
Alkbh3-2,unknown,14-mFat,I362,0.884222474
NC5,control,14-mFat,I362,1.07720237
Ythdf1-2,unknown,14-mFat,I362,1.005330243
Mettl1,unknown,14-mFat,I362,0.460487805
Fto-1,unknown,14-mFat,I362,0.98451037
Nfs1,unknown,14-mFat,I362,0.183981474
Gon7-1,unknown,14-mFat,I362,0.272210589
Cmtr1,unknown,14-mFat,I362,0.364165454
Bcdin3d,unknown,14-mFat,I362,0.745107878
Txn1,unknown,14-mFat,I362,0.432879046
NC6,control,14-mFat,I362,0.998632946
Mepce,unknown,14-mFat,I362,0.316009142
Mettl2,unknown,14-mFat,I362,0.847447264
Iscu,unknown,14-mFat,I362,0.3969667
Trmt61b,unknown,14-mFat,I362,1.044260166
Alkbh8,unknown,14-mFat,I362,0.930127901
Mrm3,unknown,14-mFat,I362,1.017430947
Elp1,unknown,14-mFat,I362,0.508890969
Bud23,unknown,14-mFat,I362,0.25142014
Hsd17b10,unknown,14-mFat,I362,0.420355731
NC7,control,14-mFat,I362,0.997098391
Adat3,unknown,14-mFat,I362,0.427733229
Trdmt1,unknown,14-mFat,I362,0.943812317
Gon7-2,unknown,14-mFat,I362,1.014814815
Mettl6,unknown,14-mFat,I362,0.904995668
Thumpd1,unknown,14-mFat,I362,0.754757852
Wdr4,unknown,14-mFat,I362,0.298902196
Alkbh5,unknown,14-mFat,I362,0.839085865
Trmt61a,unknown,14-mFat,I362,0.223677318
Trit1,unknown,14-mFat,I362,0.49538048
NC8,control,14-mFat,I362,0.813598167
Ythdc1-2,unknown,14-mFat,I362,0.35845678
Tfb1m,unknown,14-mFat,I362,0.562159855
Trmt6,unknown,14-mFat,I362,0.331488847
Trmt10a,unknown,14-mFat,I362,0.726590483
Pus3,unknown,14-mFat,I362,0.673394173
Urm1,unknown,14-mFat,I362,0.635347777
Alkbh3-1,unknown,14-mFat,I362,0.731290093
Qtrt2,unknown,14-mFat,I362,0.954231149
Mettl16,unknown,14-mFat,I362,0.307508226
Snu13,unknown,14-mFat,H339,0.612459485
Polr2a,positive control,14-mFat,H339,0.327176181
Trp53rkb,unknown,14-mFat,H339,0.476719351
Fbl,unknown,14-mFat,H339,0.34275956
Tyw5,unknown,14-mFat,H339,0.625066857
Trmu,unknown,14-mFat,H339,0.367926698
Ftsj1,unknown,14-mFat,H339,0.807526984
Mrm1,unknown,14-mFat,H339,0.613444897
NC1,control,14-mFat,H339,0.822682848
Cmtr2,unknown,14-mFat,H339,0.759587629
Ythdf1-1,unknown,14-mFat,H339,0.971523592
Fto-2,unknown,14-mFat,H339,0.804627863
Lage3,unknown,14-mFat,H339,0.726086602
Alkbh3-3,unknown,14-mFat,H339,0.883658559
Adat2,unknown,14-mFat,H339,0.706678558
Osgep,unknown,14-mFat,H339,0.27809139
Pus10,unknown,14-mFat,H339,0.900913901
Nsun2,unknown,14-mFat,H339,0.861494109
NC2,control,14-mFat,H339,1.100237718
Rnmt,unknown,14-mFat,H339,0.825226077
Pus7,unknown,14-mFat,H339,1.003681639
Mettl3-3,unknown,14-mFat,H339,0.908188586
Trmt5,unknown,14-mFat,H339,1.215843521
Mettl14,unknown,14-mFat,H339,0.803355877
Qtrt1,unknown,14-mFat,H339,1.102142501
Trmo,unknown,14-mFat,H339,1.125373821
Mrm2,unknown,14-mFat,H339,0.692174487
Dimt1,unknown,14-mFat,H339,0.718133983
NC3,control,14-mFat,H339,1.175143742
Nsun4,unknown,14-mFat,H339,0.886120996
Dcps,unknown,14-mFat,H339,0.91266937
Ctu1,unknown,14-mFat,H339,0.783819227
Trmt10c,unknown,14-mFat,H339,0.723411723
Mettl3-2,unknown,14-mFat,H339,0.878320263
Adat1,unknown,14-mFat,H339,1.150722643
Trp53rka,unknown,14-mFat,H339,0.956744537
Thg1l,unknown,14-mFat,H339,0.28685259
Cdkal1,unknown,14-mFat,H339,1.036877395
NC4,control,14-mFat,H339,1.123708111
Trmt10b,unknown,14-mFat,H339,1.062011173
Rpusd4,unknown,14-mFat,H339,0.741835682
Elp3,unknown,14-mFat,H339,0.913072928
Tprkb,unknown,14-mFat,H339,0.574917054
Trmt112,unknown,14-mFat,H339,0.621155796
Ythdc1-1,unknown,14-mFat,H339,0.58621045
Tgs1,unknown,14-mFat,H339,0.495614522
Mettl3-1,unknown,14-mFat,H339,0.738147498
Alkbh3-2,unknown,14-mFat,H339,1.044875228
NC5,control,14-mFat,H339,1.054866934
Ythdf1-2,unknown,14-mFat,H339,1.323585025
Mettl1,unknown,14-mFat,H339,0.739425163
Fto-1,unknown,14-mFat,H339,1.297909568
Nfs1,unknown,14-mFat,H339,0.314430095
Gon7-1,unknown,14-mFat,H339,0.465037406
Cmtr1,unknown,14-mFat,H339,0.455385335
Bcdin3d,unknown,14-mFat,H339,0.953610327
Txn1,unknown,14-mFat,H339,0.564071229
NC6,control,14-mFat,H339,1.126324368
Mepce,unknown,14-mFat,H339,0.389867841
Mettl2,unknown,14-mFat,H339,0.945869521
Iscu,unknown,14-mFat,H339,0.490788504
Trmt61b,unknown,14-mFat,H339,1.26794676
Alkbh8,unknown,14-mFat,H339,1.069693349
Mrm3,unknown,14-mFat,H339,1.11627907
Elp1,unknown,14-mFat,H339,0.708881973
Bud23,unknown,14-mFat,H339,0.282759157
Hsd17b10,unknown,14-mFat,H339,0.508600337
NC7,control,14-mFat,H339,0.998887843
Adat3,unknown,14-mFat,H339,0.482920234
Trdmt1,unknown,14-mFat,H339,1.173642768
Gon7-2,unknown,14-mFat,H339,1.010311404
Mettl6,unknown,14-mFat,H339,1.049061175
Thumpd1,unknown,14-mFat,H339,0.854486052
Wdr4,unknown,14-mFat,H339,0.332011809
Alkbh5,unknown,14-mFat,H339,0.862671325
Trmt61a,unknown,14-mFat,H339,0.290188853
Trit1,unknown,14-mFat,H339,0.604426489
NC8,control,14-mFat,H339,0.770496454
Ythdc1-2,unknown,14-mFat,H339,0.414068346
Tfb1m,unknown,14-mFat,H339,0.640449438
Trmt6,unknown,14-mFat,H339,0.3830332
Trmt10a,unknown,14-mFat,H339,0.748227509
Pus3,unknown,14-mFat,H339,0.786786787
Urm1,unknown,14-mFat,H339,0.690900451
Alkbh3-1,unknown,14-mFat,H339,0.642273403
Qtrt2,unknown,14-mFat,H339,0.741393888
Mettl16,unknown,14-mFat,H339,0.208719981
Snu13,unknown,14-mFat,I238,0.440692795
Polr2a,positive control,14-mFat,I238,0.229178524
Trp53rkb,unknown,14-mFat,I238,0.597583994
Fbl,unknown,14-mFat,I238,0.299406241
Tyw5,unknown,14-mFat,I238,0.689582034
Trmu,unknown,14-mFat,I238,0.355648104
Ftsj1,unknown,14-mFat,I238,0.815771457
Mrm1,unknown,14-mFat,I238,0.710369265
NC1,control,14-mFat,I238,0.939676203
Cmtr2,unknown,14-mFat,I238,0.618493604
Ythdf1-1,unknown,14-mFat,I238,0.968545994
Fto-2,unknown,14-mFat,I238,0.694814101
Lage3,unknown,14-mFat,I238,0.844816806
Alkbh3-3,unknown,14-mFat,I238,0.824158622
Adat2,unknown,14-mFat,I238,0.64384359
Osgep,unknown,14-mFat,I238,0.166010535
Pus10,unknown,14-mFat,I238,0.587068966
Nsun2,unknown,14-mFat,I238,0.774746784
NC2,control,14-mFat,I238,1.094747817
Rnmt,unknown,14-mFat,I238,0.658524399
Pus7,unknown,14-mFat,I238,1.01077105
Mettl3-3,unknown,14-mFat,I238,0.725150905
Trmt5,unknown,14-mFat,I238,0.621326896
Mettl14,unknown,14-mFat,I238,0.368791302
Qtrt1,unknown,14-mFat,I238,1.148255814
Trmo,unknown,14-mFat,I238,0.962903226
Mrm2,unknown,14-mFat,I238,0.596896866
Dimt1,unknown,14-mFat,I238,0.538832821
NC3,control,14-mFat,I238,1.330261137
Nsun4,unknown,14-mFat,I238,0.692551925
Dcps,unknown,14-mFat,I238,0.810593182
Ctu1,unknown,14-mFat,I238,0.633761682
Trmt10c,unknown,14-mFat,I238,0.48497025
Mettl3-2,unknown,14-mFat,I238,0.52621979
Adat1,unknown,14-mFat,I238,0.857082984
Trp53rka,unknown,14-mFat,I238,1.085285848
Thg1l,unknown,14-mFat,I238,0.229305659
Cdkal1,unknown,14-mFat,I238,0.898114311
NC4,control,14-mFat,I238,0.922526106
Trmt10b,unknown,14-mFat,I238,0.969949917
Rpusd4,unknown,14-mFat,I238,0.441318587
Elp3,unknown,14-mFat,I238,0.684063374
Tprkb,unknown,14-mFat,I238,0.376940667
Trmt112,unknown,14-mFat,I238,0.576430401
Ythdc1-1,unknown,14-mFat,I238,0.470698899
Tgs1,unknown,14-mFat,I238,0.324970828
Mettl3-1,unknown,14-mFat,I238,0.551417004
Alkbh3-2,unknown,14-mFat,I238,1.036322361
NC5,control,14-mFat,I238,1.098413912
Ythdf1-2,unknown,14-mFat,I238,1.121436848
Mettl1,unknown,14-mFat,I238,0.341463415
Fto-1,unknown,14-mFat,I238,1.022315568
Nfs1,unknown,14-mFat,I238,0.166254092
Gon7-1,unknown,14-mFat,I238,0.343404128
Cmtr1,unknown,14-mFat,I238,0.309914779
Bcdin3d,unknown,14-mFat,I238,0.899397893
Txn1,unknown,14-mFat,I238,0.491141397
NC6,control,14-mFat,I238,1.004784689
Mepce,unknown,14-mFat,I238,0.292159396
Mettl2,unknown,14-mFat,I238,0.963619688
Iscu,unknown,14-mFat,I238,0.275634685
Trmt61b,unknown,14-mFat,I238,0.949545409
Alkbh8,unknown,14-mFat,I238,0.763855992
Mrm3,unknown,14-mFat,I238,1.067846608
Elp1,unknown,14-mFat,I238,0.560832943
Bud23,unknown,14-mFat,I238,0.244780524
Hsd17b10,unknown,14-mFat,I238,0.299407115
NC7,control,14-mFat,I238,1.007122131
Adat3,unknown,14-mFat,I238,0.431253667
Trdmt1,unknown,14-mFat,I238,0.693958944
Gon7-2,unknown,14-mFat,I238,0.694017094
Mettl6,unknown,14-mFat,I238,0.924631822
Thumpd1,unknown,14-mFat,I238,0.704626335
Wdr4,unknown,14-mFat,I238,0.334830339
Alkbh5,unknown,14-mFat,I238,1.028120004
Trmt61a,unknown,14-mFat,I238,0.217915139
Trit1,unknown,14-mFat,I238,0.475222577
NC8,control,14-mFat,I238,0.792971734
Ythdc1-2,unknown,14-mFat,I238,0.305713821
Tfb1m,unknown,14-mFat,I238,0.478924341
Trmt6,unknown,14-mFat,I238,0.300881895
Trmt10a,unknown,14-mFat,I238,0.815623401
Pus3,unknown,14-mFat,I238,0.420673921
Urm1,unknown,14-mFat,I238,0.435575827
Alkbh3-1,unknown,14-mFat,I238,0.700187909
Qtrt2,unknown,14-mFat,I238,0.743628581
Mettl16,unknown,14-mFat,I238,0.130421777
Snu13,unknown,05-Cerebral cortex,I53,0.879860664
Polr2a,positive control,05-Cerebral cortex,I53,0.3631789
Trp53rkb,unknown,05-Cerebral cortex,I53,0.933747412
Fbl,unknown,05-Cerebral cortex,I53,0.825270666
Tyw5,unknown,05-Cerebral cortex,I53,0.990313653
Trmu,unknown,05-Cerebral cortex,I53,1.177592372
Ftsj1,unknown,05-Cerebral cortex,I53,1.341891314
Mrm1,unknown,05-Cerebral cortex,I53,0.969914564
NC1,control,05-Cerebral cortex,I53,1.072962594
Cmtr2,unknown,05-Cerebral cortex,I53,1.106896102
Ythdf1-1,unknown,05-Cerebral cortex,I53,1.177376171
Fto-2,unknown,05-Cerebral cortex,I53,1.000805258
Lage3,unknown,05-Cerebral cortex,I53,0.818131142
Alkbh3-3,unknown,05-Cerebral cortex,I53,0.960949803
Adat2,unknown,05-Cerebral cortex,I53,0.838105052
Osgep,unknown,05-Cerebral cortex,I53,0.199937454
Pus10,unknown,05-Cerebral cortex,I53,1.131655965
Nsun2,unknown,05-Cerebral cortex,I53,1.018089391
NC2,control,05-Cerebral cortex,I53,0.976432588
Rnmt,unknown,05-Cerebral cortex,I53,1.066019773
Pus7,unknown,05-Cerebral cortex,I53,1.129304237
Mettl3-3,unknown,05-Cerebral cortex,I53,1.05781145
Trmt5,unknown,05-Cerebral cortex,I53,0.849511751
Mettl14,unknown,05-Cerebral cortex,I53,1.397643685
Qtrt1,unknown,05-Cerebral cortex,I53,1.129209845
Trmo,unknown,05-Cerebral cortex,I53,1.241693633
Mrm2,unknown,05-Cerebral cortex,I53,0.955239871
Dimt1,unknown,05-Cerebral cortex,I53,0.938020086
NC3,control,05-Cerebral cortex,I53,1.160651921
Nsun4,unknown,05-Cerebral cortex,I53,0.973459323
Dcps,unknown,05-Cerebral cortex,I53,1.260733426
Ctu1,unknown,05-Cerebral cortex,I53,0.803144867
Trmt10c,unknown,05-Cerebral cortex,I53,0.798393055
Mettl3-2,unknown,05-Cerebral cortex,I53,1.176409547
Adat1,unknown,05-Cerebral cortex,I53,0.990253039
Trp53rka,unknown,05-Cerebral cortex,I53,0.81078536
Thg1l,unknown,05-Cerebral cortex,I53,0.237420297
Cdkal1,unknown,05-Cerebral cortex,I53,1.051614851
NC4,control,05-Cerebral cortex,I53,1.083853799
Trmt10b,unknown,05-Cerebral cortex,I53,1.115821095
Rpusd4,unknown,05-Cerebral cortex,I53,1.127772284
Elp3,unknown,05-Cerebral cortex,I53,0.905751457
Tprkb,unknown,05-Cerebral cortex,I53,0.759299402
Trmt112,unknown,05-Cerebral cortex,I53,0.852301754
Ythdc1-1,unknown,05-Cerebral cortex,I53,0.870586381
Tgs1,unknown,05-Cerebral cortex,I53,0.563943662
Mettl3-1,unknown,05-Cerebral cortex,I53,1.393308968
Alkbh3-2,unknown,05-Cerebral cortex,I53,1.158606557
NC5,control,05-Cerebral cortex,I53,1.096760989
Ythdf1-2,unknown,05-Cerebral cortex,I53,1.2605544
Mettl1,unknown,05-Cerebral cortex,I53,0.985989361
Fto-1,unknown,05-Cerebral cortex,I53,0.545669899
Nfs1,unknown,05-Cerebral cortex,I53,0.329391686
Gon7-1,unknown,05-Cerebral cortex,I53,0.285840279
Cmtr1,unknown,05-Cerebral cortex,I53,0.858304984
Bcdin3d,unknown,05-Cerebral cortex,I53,0.94196804
Txn1,unknown,05-Cerebral cortex,I53,0.754208754
NC6,control,05-Cerebral cortex,I53,0.961851581
Mepce,unknown,05-Cerebral cortex,I53,0.448337921
Mettl2,unknown,05-Cerebral cortex,I53,1.06426467
Iscu,unknown,05-Cerebral cortex,I53,0.355255559
Trmt61b,unknown,05-Cerebral cortex,I53,0.830120044
Alkbh8,unknown,05-Cerebral cortex,I53,0.954417558
Mrm3,unknown,05-Cerebral cortex,I53,0.828575751
Elp1,unknown,05-Cerebral cortex,I53,0.509905701
Bud23,unknown,05-Cerebral cortex,I53,0.532520687
Hsd17b10,unknown,05-Cerebral cortex,I53,0.614883137
NC7,control,05-Cerebral cortex,I53,0.772974704
Adat3,unknown,05-Cerebral cortex,I53,0.719832896
Trdmt1,unknown,05-Cerebral cortex,I53,1.197970534
Gon7-2,unknown,05-Cerebral cortex,I53,0.981540646
Mettl6,unknown,05-Cerebral cortex,I53,0.600581839
Thumpd1,unknown,05-Cerebral cortex,I53,0.833014113
Wdr4,unknown,05-Cerebral cortex,I53,0.350885344
Alkbh5,unknown,05-Cerebral cortex,I53,0.579295154
Trmt61a,unknown,05-Cerebral cortex,I53,0.701799486
Trit1,unknown,05-Cerebral cortex,I53,0.658771244
NC8,control,05-Cerebral cortex,I53,0.649511645
Ythdc1-2,unknown,05-Cerebral cortex,I53,0.589970144
Tfb1m,unknown,05-Cerebral cortex,I53,1.066531977
Trmt6,unknown,05-Cerebral cortex,I53,0.54368932
Trmt10a,unknown,05-Cerebral cortex,I53,1.089092465
Pus3,unknown,05-Cerebral cortex,I53,0.908797937
Urm1,unknown,05-Cerebral cortex,I53,1.18584603
Alkbh3-1,unknown,05-Cerebral cortex,I53,0.838701261
Qtrt2,unknown,05-Cerebral cortex,I53,1.226698317
Mettl16,unknown,05-Cerebral cortex,I53,0.301593396
Snu13,unknown,02-Cerebellum central part,I53,1.415179526
Polr2a,positive control,02-Cerebellum central part,I53,0.406736944
Trp53rkb,unknown,02-Cerebellum central part,I53,0.906866688
Fbl,unknown,02-Cerebellum central part,I53,0.841958965
Tyw5,unknown,02-Cerebellum central part,I53,0.942801224
Trmu,unknown,02-Cerebellum central part,I53,1.277842595
Ftsj1,unknown,02-Cerebellum central part,I53,1.375611202
Mrm1,unknown,02-Cerebellum central part,I53,0.963385354
NC1,control,02-Cerebellum central part,I53,1.111072291
Cmtr2,unknown,02-Cerebellum central part,I53,1.244409201
Ythdf1-1,unknown,02-Cerebellum central part,I53,1.180087414
Fto-2,unknown,02-Cerebellum central part,I53,1.154194862
Lage3,unknown,02-Cerebellum central part,I53,0.886270044
Alkbh3-3,unknown,02-Cerebellum central part,I53,1.106812933
Adat2,unknown,02-Cerebellum central part,I53,1.081968334
Osgep,unknown,02-Cerebellum central part,I53,0.184451768
Pus10,unknown,02-Cerebellum central part,I53,1.251495505
Nsun2,unknown,02-Cerebellum central part,I53,1.074271189
NC2,control,02-Cerebellum central part,I53,1.039782016
Rnmt,unknown,02-Cerebellum central part,I53,1.212386007
Pus7,unknown,02-Cerebellum central part,I53,0.679970154
Mettl3-3,unknown,02-Cerebellum central part,I53,1.112563384
Trmt5,unknown,02-Cerebellum central part,I53,0.884210526
Mettl14,unknown,02-Cerebellum central part,I53,1.227639442
Qtrt1,unknown,02-Cerebellum central part,I53,1.284338086
Trmo,unknown,02-Cerebellum central part,I53,1.323129126
Mrm2,unknown,02-Cerebellum central part,I53,1.058664981
Dimt1,unknown,02-Cerebellum central part,I53,1.031551026
NC3,control,02-Cerebellum central part,I53,1.051804963
Nsun4,unknown,02-Cerebellum central part,I53,0.921299725
Dcps,unknown,02-Cerebellum central part,I53,1.264546387
Ctu1,unknown,02-Cerebellum central part,I53,0.80676694
Trmt10c,unknown,02-Cerebellum central part,I53,0.540995095
Mettl3-2,unknown,02-Cerebellum central part,I53,1.065766364
Adat1,unknown,02-Cerebellum central part,I53,1.003171726
Trp53rka,unknown,02-Cerebellum central part,I53,0.775499269
Thg1l,unknown,02-Cerebellum central part,I53,0.125242449
Cdkal1,unknown,02-Cerebellum central part,I53,1.041614081
NC4,control,02-Cerebellum central part,I53,1.010989498
Trmt10b,unknown,02-Cerebellum central part,I53,1.179179218
Rpusd4,unknown,02-Cerebellum central part,I53,0.659122626
