Name,organ,mouse_index,fold change
Snu13,mFat,I362,0.612695295
Polr2a,mFat,I362,0.34885221
Cd45,mFat,I362,2.056484306
Trp53rkb,mFat,I362,0.516798792
Fbl,mFat,I362,0.350065271
Tyw5,mFat,I362,0.61172801
Trmu,mFat,I362,0.333876255
Ftsj1,mFat,I362,0.743324827
Mrm1,mFat,I362,0.676799702
NC1,mFat,I362,0.8804613
Cmtr2,mFat,I362,0.645291134
Ythdf1-1,mFat,I362,0.865578635
Fto-2,mFat,I362,0.71972421
Lage3,mFat,I362,0.583218707
Alkbh3-3,mFat,I362,0.833289851
Adat2,mFat,I362,0.580030689
Osgep,mFat,I362,0.199611866
Pus10,mFat,I362,0.811637931
Nsun2,mFat,I362,0.672590567
NC2,mFat,I362,1.027108041
Rnmt,mFat,I362,0.602564814
Pus7,mFat,I362,0.835019046
Mettl3-3,mFat,I362,0.750503018
Trmt5,mFat,I362,0.875551486
Mettl14,mFat,I362,0.539330633
Qtrt1,mFat,I362,1.105135659
Trmo,mFat,I362,0.998973607
Mrm2,mFat,I362,0.540310313
Dimt1,mFat,I362,0.574374726
NC3,mFat,I362,1.188501207
Nsun4,mFat,I362,0.711602064
Dcps,mFat,I362,0.633980496
Ctu1,mFat,I362,0.622663551
Trmt10c,mFat,I362,0.504906885
Mettl3-2,mFat,I362,0.658914729
Adat1,mFat,I362,0.988264878
Trp53rka,mFat,I362,1.025773196
Thg1l,mFat,I362,0.169508278
Cdkal1,mFat,I362,0.956000585
NC4,mFat,I362,1.08065639
Trmt10b,mFat,I362,1.018920423
Rpusd4,mFat,I362,0.582411683
Elp3,mFat,I362,0.676607642
Tprkb,mFat,I362,0.462871585
Trmt112,mFat,I362,0.480999146
Ythdc1-1,mFat,I362,0.459411156
Tgs1,mFat,I362,0.392648775
Mettl3-1,mFat,I362,0.578744939
Alkbh3-2,mFat,I362,0.884222474
NC5,mFat,I362,1.07720237
Ythdf1-2,mFat,I362,1.005330243
Mettl1,mFat,I362,0.460487805
Fto-1,mFat,I362,0.98451037
Nfs1,mFat,I362,0.183981474
Gon7-1,mFat,I362,0.272210589
Cmtr1,mFat,I362,0.364165454
Bcdin3d,mFat,I362,0.745107878
Txn1,mFat,I362,0.432879046
NC6,mFat,I362,0.998632946
Mepce,mFat,I362,0.316009142
Mettl2,mFat,I362,0.847447264
Iscu,mFat,I362,0.3969667
Trmt61b,mFat,I362,1.044260166
Alkbh8,mFat,I362,0.930127901
Mrm3,mFat,I362,1.017430947
Elp1,mFat,I362,0.508890969
Bud23,mFat,I362,0.25142014
Hsd17b10,mFat,I362,0.420355731
NC7,mFat,I362,0.997098391
Adat3,mFat,I362,0.427733229
Trdmt1,mFat,I362,0.943812317
Gon7-2,mFat,I362,1.014814815
Mettl6,mFat,I362,0.904995668
Thumpd1,mFat,I362,0.754757852
Wdr4,mFat,I362,0.298902196
Alkbh5,mFat,I362,0.839085865
Trmt61a,mFat,I362,0.223677318
